,id,originalTitle,type,isAdult,releaseDate,runtimeMinutes,averageRating
82,tt0417217,Two for the Money,movie,False,2005-10-07,122.0,6.2
83,tt0356622,Frat Boys,tvMovie,False,,120.0,5.4
84,tt0361185,Freedom: A History of US,tvSeries,False,2003-01-12,,5.7
85,tt0251127,How to Lose a Guy in 10 Days,movie,False,2003-02-07,116.0,6.5
86,tt1058545,The Lost Dinosaurs of Egypt,tvMovie,False,,120.0,6.7
87,tt0376434,Tinseltown TV,tvSeries,False,2003-08-02,,4.4
88,tt0316768,Tiptoes,movie,False,2004-01-16,90.0,4.2
89,tt0253556,Reign of Fire,movie,False,2002-07-12,101.0,6.2
90,tt0268690,Thirteen Conversations About One Thing,movie,False,2002-07-05,104.0,7.0
91,tt0209475,The Wedding Planner,movie,False,2001-01-26,103.0,5.4
92,tt0264616,Frailty,movie,False,2002-04-12,100.0,7.2
93,tt5032110,Nulle part ailleurs: midi,tvSeries,False,,,6.8
94,tt0141926,U-571,movie,False,2000-04-21,116.0,6.6
95,tt0131369,EDtv,movie,False,1999-03-26,122.0,6.1
96,tt0287789,Waking in Mississippi,movie,False,1998-06-08,60.0,7.5
97,tt0773260,Bravo Profiles: The Entertainment Business,tvMiniSeries,False,1998-03-01,,6.5
98,tt0120769,The Newton Boys,movie,False,1998-03-27,122.0,6.1
99,tt0118607,Amistad,movie,False,1997-12-25,155.0,7.3
